"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp"
"","","","","","","","","","","","html-button-response","81","2.0.0","143901","66d7b253c64eb18aa549d79c","4","24","1570","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","38","Basalt","Diorite","07","false","2","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","144409","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","145817","66d7b253c64eb18aa549d79c","4","24","1406","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","0","test","39","Gabbro","Pegmatite","15","false","4","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","146318","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","147032","66d7b253c64eb18aa549d79c","4","24","713","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","6","class_response","0","test","40","Peridotite","Andesite","10","false","7","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","147533","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","148374","66d7b253c64eb18aa549d79c","4","24","841","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","1","class_response","0","test","41","Basalt","Pumice","08","false","2","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","148881","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","149567","66d7b253c64eb18aa549d79c","4","24","684","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","4","class_response","0","test","42","Obsidian","Diorite","08","false","5","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","150068","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","","","","","","","","","","","",""
