width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Gabbro,text_Basalt,time_obs,time_resp,text_Peridotite,text_Pegmatite,text_Andesite,text_Diorite,time_fb1,time_fb2
,,,,,,,,,,,html-button-response,73,2.0.0,986250,60fc2ec58ad0da367daee3c1,4,19,8739,,,,,,,,,"<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>",3,class_response,0,test,34,Gabbro,Gabbro,1,TRUE,4,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,74,2.0.0,986781,60fc2ec58ad0da367daee3c1,4,19,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,34,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,75,2.0.0,988182,60fc2ec58ad0da367daee3c1,4,19,1371,,,,,,,,,"<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>",7,class_response,0,test,35,Pumice,Pumice,14,TRUE,8,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,76,2.0.0,988713,60fc2ec58ad0da367daee3c1,4,19,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,77,2.0.0,990316,60fc2ec58ad0da367daee3c1,4,19,1572,,,,,,,,,"<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>",4,class_response,0,test,36,Obsidian,Obsidian,9,TRUE,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,78,2.0.0,990846,60fc2ec58ad0da367daee3c1,4,19,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,79,2.0.0,992749,60fc2ec58ad0da367daee3c1,4,19,1873,,,,,,,,,"<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>",4,class_response,0,test,37,Obsidian,Obsidian,10,TRUE,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,80,2.0.0,993280,60fc2ec58ad0da367daee3c1,4,19,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,37,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,81,2.0.0,994967,60fc2ec58ad0da367daee3c1,4,19,1656,,,,,,,,,"<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>",1,class_response,0,test,38,Basalt,Andesite,3,FALSE,2,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,82,2.0.0,995500,60fc2ec58ad0da367daee3c1,4,19,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,38,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,83,2.0.0,996933,60fc2ec58ad0da367daee3c1,4,19,1405,,,,,,,,,"<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>",4,class_response,0,test,39,Obsidian,Obsidian,2,TRUE,5,5,,,,,,,,,,,,,,,,
