width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Basalt,text_Pumice,time_resp,text_Obsidian,text_Peridotite,time_fb1,time_fb2,text_Pegmatite,text_Andesite,text_Gabbro,text_Diorite
,,,,,,,,,,,html-keyboard-response,74,2.0.0,223776,5d30790f326b0f0017a2a828,3,1,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,34,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,75,2.0.0,224840,5d30790f326b0f0017a2a828,3,1,1060,,,,,,,,,"<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>",1,class_response,0,test,35,Basalt,Gabbro,16,FALSE,2,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,76,2.0.0,225342,5d30790f326b0f0017a2a828,3,1,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,77,2.0.0,227265,5d30790f326b0f0017a2a828,3,1,1919,,,,,,,,,"<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>",0,class_response,0,test,36,Andesite,Peridotite,13,FALSE,1,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,78,2.0.0,227768,5d30790f326b0f0017a2a828,3,1,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,79,2.0.0,229735,5d30790f326b0f0017a2a828,3,1,1964,,,,,,,,,"<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>",4,class_response,0,test,37,Obsidian,Basalt,10,FALSE,5,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,80,2.0.0,230238,5d30790f326b0f0017a2a828,3,1,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,81,2.0.0,231258,5d30790f326b0f0017a2a828,3,1,1016,,,,,,,,,"<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>",6,class_response,0,test,38,Peridotite,Gabbro,13,FALSE,7,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,82,2.0.0,231761,5d30790f326b0f0017a2a828,3,1,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,83,2.0.0,232707,5d30790f326b0f0017a2a828,3,1,943,,,,,,,,,"<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>",1,class_response,0,test,39,Basalt,Andesite,3,FALSE,2,1,,,,,,,,,,,,,,,,,,
